"URL","File Size","Outlinks","Content Tyoe"
"https://www.wsj.com/news/author/7454","473745","254","text/html"
"https://www.wsj.com/articles/danske-bank-tipster-seeks-protection-1538079265","1048041","266","text/html"
"https://www.wsj.com/articles/denmark-reopens-investigation-into-russia-linked-money-laundering-case-1537451955?mod=article_inline","1054554","265","text/html"
"https://www.wsj.com/articles/danske-bank-money-laundering-case-spreads-to-u-k-1537528885?mod=article_inline","1052837","268","text/html"
"https://www.wsj.com/amp/articles/danske-bank-tipster-seeks-protection-1538079265","46254","32","text/html"
"https://www.wsj.com/policy/copyright-policy?mod=podcasts","588121","238","text/html"
"https://www.wsj.com/video/in-acapulco-hell-is-overlapping-with-paradise/8307C599-5E8C-45C2-BECA-196F5B5BB195.html","76873","98","text/html"
"https://www.wsj.com/articles/wpp-names-mark-read-as-its-new-ceo-1535913242?mod=article_inline","1058472","276","text/html"
"https://www.wsj.com/amp/articles/wpp-to-merge-young-rubicam-with-its-digital-ad-firm-vml-1537959605","50265","31","text/html"
"https://www.wsj.com/news/author/8143","430077","247","text/html"
"https://www.wsj.com/articles/wpp-considers-merger-of-young-rubicam-and-digital-ad-firm-vml-1537729991?mod=article_inline","1066963","274","text/html"
"https://www.wsj.com/articles/wpp-considers-merger-of-young-rubicam-and-digital-ad-firm-vml-1537729991?mod=article_inline&page=1&pos=4","1067048","274","text/html"
"https://www.wsj.com/articles/no-lives-lost-in-boeing-737s-micronesia-lagoon-landing-1538108210","1047766","260","text/html"
"https://www.wsj.com/articles/china-announces-more-tariff-cuts-to-spur-spending-investment-1537967930","1046314","259","text/html"
"https://www.wsj.com/articles/hong-kong-grants-dependency-visas-to-foreigners-in-same-sex-unions-1537280513","1048700","263","text/html"
"https://www.wsj.com/articles/north-koreas-olympic-dream-faces-plenty-of-hurdles-1537361298","1053760","272","text/html"
"https://www.wsj.com/articles/ousted-malaysian-prime-minister-najib-pleads-not-guilty-to-25-more-charges-1537440253","1054509","268","text/html"
