"URL","Resides"
"https://www.chron.com/news/strange-weird/","OK"
"http://digital.olivesoftware.com/olive/odn/houstonchronicledemo/","N_OK"
"https://www.chron.com/news/houston-texas/houston/article/houston-s-best-patio-bars-to-explore-this-fall-13244305.php?ipid=hpctp","OK"
"https://www.chron.com/backtoschool","OK"
"https://s.hdnux.com/photos/75/67/56/16219015/3/core_thumbnail_list.jpg","N_OK"
"https://www.chron.com/sports/rockets/article/mavericks-mark-cuban-donates-10m-probe-13242542.php","OK"
"https://www.chron.com/news/nation-world/world/","OK"
"https://www.chron.com/sports/astros/article/astros-aim-to-use-lance-mccullers-on-monday-or-13251474.php?ipid=hpsportsctp","OK"
"https://www.chron.com/entertainment/restaurants-bars/bbq/article/woodlands-barbecue-festival-gears-up-for-oct-7-13244267.php","OK"
"https://www.chron.com/jobs/article/here-are-the-29-highest-paying-entry-level-jobs-6782754.php","OK"
"https://www.houstonchronicle.com/sports/texas-sports-nation/daily-playbook-newsletter/","N_OK"
"https://www.chron.com/news/education/","OK"
"https://s.hdnux.com/photos/31/15/56/6609838/5/core_centerpiece_tab_small.jpg","N_OK"
"https://www.pinterest.com/houstonchron/","N_OK"
"https://www.chron.com/update","OK"
"https://www.chron.com/neighborhood/bayarea/news/article/pasadena-city-council-member-s-timesheets-called-13244734.php","OK"
"https://s.hdnux.com/photos/75/64/23/16205004/4/core_package.jpg","N_OK"
"https://s.hdnux.com/photos/75/67/47/16218596/3/core_thumbnail_list.jpg","N_OK"
"https://www.chron.com/life/pets/article/more-than-150-harris-county-animals-adopted-13242113.php","OK"
"http://www.legalnotice.org/pl/chron/landing1.aspx","N_OK"
"https://www.chron.com/jobs/engineering/","OK"
"https://www.chron.com/neighborhood/atascocita/news/article/water-officials-designing-multi-billion-water-13230427.php","OK"
"http://www.chron.com/entertainment/music/","N_OK"
"https://s.hdnux.com/photos/75/66/70/16215596/3/core_thumbnail_list.jpg","N_OK"
"https://checkout.houstonchronicle.com/nolandingprog?cmpid=chronheader&icmp=templated&pid=534&z=00000","N_OK"
"https://www.houstonchronicle.com/sports/texas-sports-nation/texans/article/john-mcclain-s-postgame-texans-chat-is-this-rock-13251801.php?utm_campaign=chrontxsn","N_OK"
"https://www.chron.com/sports/texans/article/new-york-giants-houston-texans-game-recap-13248523.php","OK"
"https://jobs.local-jobs.monster.com/search?ch=houstonchronicle&rad=25&where=houston%2c%20tx&wt.mc_n=hjnpsearch","N_OK"
"https://www.chron.com/neighborhood/spring/news/article/veterans-volunteers-help-restoration-efforts-at-13250147.php","OK"
"https://www.houstonchronicle.com/sports/texas-sports-nation/texans/article/inside-the-key-stats-from-giants-27-texans-22-13251903.php?utm_campaign=chrontxsn","N_OK"
"https://www.chron.com/apple-touch-icon-76x76.png","OK"
"https://www.chron.com/privacy_policy/","OK"
"https://www.chron.com/news/politics/article/trump-at-un-to-again-confront-north-korea-s-13252331.php","OK"
"https://www.chron.com/news/houston-weather/","OK"
"https://www.chron.com/news/houston-texas/article/men-shooting-at-tree-spark-swat-standoff-in-13251371.php?ipid=houstonhomepage","OK"
"https://blog.chron.com/storystudio/2018/09/alfas-real-deal-sports-sedan-puts-the-usual-suspects-on-notice/","N_OK"
"https://www.chron.com/business/real-estate/","OK"
"https://www.chron.com/apple-touch-icon-120x120.png","OK"
"https://www.chron.com/news/article/hko-whl-standings-13252402.php","OK"
"http://www.linkedin.com/company/9779?trk=tyah","N_OK"
"https://www.houstonchronicle.com/sports/texas-sports-nation/about/","N_OK"
"https://www.chron.com/sports/texans/article/texans-nrg-stadium-tailgates-packed-home-opener-13251426.php?ipid=hpctp","OK"
"https://www.chron.com/entertainment/restaurants-bars/article/smoked-brisket-sandwich-wins-2018-banh-mi-cook-off-13241249.php","OK"
"https://www.chron.com/news/houston-texas/houston/article/hot-sauce-festival-13252049.php","OK"
"http://events.chron.com/","N_OK"
"https://www.chron.com/apple-touch-icon.png","OK"
"https://s.hdnux.com/photos/75/63/71/16203345/3/core_package_small.jpg","N_OK"
"https://www.chron.com/news/nation-world/article/incredible-video-shows-two-pink-dolphins-swimming-13185933.php","OK"
"https://www.chron.com/entertainment/restaurants-bars","OK"
"https://www.chron.com/sponsoredarticles/lifestyle/","OK"
"https://www.chron.com/news/politics/houston/","OK"
"https://ww3.hdnux.com/photos/32/54/51/6998614/3/50x50.jpg","N_OK"
"https://www.chron.com/about/","OK"
"https://s.hdnux.com/photos/75/67/14/16216834/3/core_centerpiece_tab_small.jpg","N_OK"
"https://www.chron.com/houston/article/onalaska-isd-superintendent-resigns-after-13249845.php?ipid=hpsportsctp","OK"
"https://www.chron.com/entertainment","OK"
"https://s.hdnux.com/photos/75/53/41/16169037/7/core_package.jpg","N_OK"
"http://www.chron.com/entertainment/restaurants-bars/","N_OK"
"https://s.hdnux.com/photos/75/64/41/16205891/5/core_package_small.jpg","N_OK"
"https://www.chron.com/jobs/","OK"
"https://www.chron.com/jobs/article/set-a-career-goal-for-every-month-of-2016-6790018.php","OK"
"https://www.chron.com/news/us/article/agency-says-two-headed-snake-may-go-to-13252412.php","OK"
"https://www.chron.com/neighborhood/memorial/news/article/fbi-warns-of-posting-hoax-threats-to-schools-13239100.php","OK"
"https://www.chron.com/news/nation-world/article/alabama-man-sentenced-to-40-years-after-murdering-10620806.php","OK"
"https://www.chron.com/houston/article/houston-area-families-of-murder-victims-gather-13252262.php?ipid=hpctp","OK"
"https://www.chron.com/business/money-tips/","OK"
"https://www.chron.com/sports/college/article/stat-watch-ou-linebacker-sets-fbs-record-with-28-13252401.php","OK"
"https://www.chron.com/news/politics/article/amid-furor-trump-pushes-pause-on-deciding-13251584.php","OK"
"https://checkout.houstonchronicle.com/nolandingprog?pid=358&z=00000","N_OK"
"https://www.chron.com/favicon.ico","OK"
"https://www.chron.com/news/houston-texas/","OK"
"http://livehealthy.chron.com/","N_OK"
"https://www.chron.com/news/nation-world/article/photos-of-north-korea-offer-rare-look-inside-13194692.php","OK"
"https://m.chron.com/","N_OK"
"https://www.chron.com/sports/article/emotional-weekend-in-texas-detroit-13252415.php","OK"
"https://www.chron.com/jobs/placeanad/","OK"
"https://www.chron.com/news/media/daring-raccoon-jump-1347088.php","OK"
"https://www.chron.com/news/media/cody-wilson-bonds-out-of-harris-county-jail-1347320.php","OK"
"https://www.chron.com/sports/astros/","OK"
"https://s.hdnux.com/photos/75/61/36/16193465/6/core_promo.jpg","N_OK"
"https://www.chron.com/neighborhood/memorial/news/article/woman-dies-after-crash-in-memorial-area-13240802.php","OK"
"https://www.chron.com/news/houston-weather/hurricanes/","OK"
"https://www.houstonchronicle.com/sports/texas-sports-nation/texans/article/john-mcclain-s-texans-vs-giants-report-card-13251777.php?utm_campaign=chrontxsn","N_OK"
"https://www.chron.com/technology/businessinsider/","OK"
"https://www.chron.com/ipad/","OK"
"https://ww4.hdnux.com/photos/32/54/51/6998611/3/50x50.jpg","N_OK"
"https://s.hdnux.com/photos/75/66/51/16214625/3/core_promo.jpg","N_OK"
"https://ww2.hdnux.com/photos/33/31/42/7182517/2/50x50.png","N_OK"
"https://www.chron.com/sports","OK"
"https://www.chron.com/news/houston-texas/article/men-shooting-at-tree-spark-swat-standoff-in-13251371.php","OK"
"https://instagram.com/houstonchron/","N_OK"
"https://www.chron.com/news/houston-texas/houston/article/hot-sauce-festival-13252049.php?ipid=hpctp","OK"
"https://www.chron.com/news/media/9-p-m-sept-23-foxrad-forecast-1347323.php","OK"
